zone,groupe,roche,AlphaZone,AlphaGroupe,AlphaRoche,AlphaDescriptRoche,AlphaLabel,nature,type,longueur,largeur,epaisseur,orientation,nom,num Chippendale,nom Bicknell,Notes,LabelSect,X_L2e,Y_L2e,Z,Géographie,Plan,Image
7,1,12@b,VII,I,12 ?,12beta,ZVII.GI.R 12 ?,S,B,,,,None,,,,,Me,1009111.626,1909429.526,2272.68,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR12@b.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR12@b\ZVIIGIR12@b.JPG
7,1,13,VII,I,13,13,ZVII.GI.R 13,S,A,,,,None,,,,,Me,1009141.152,1909350.457,2255.65,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR13.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR13\ZVIIGIR13.JPG
7,1,13@a,VII,I,13 ?,13alpha,ZVII.GI.R 13 ?,G,B,,,,None,,,,,Me,1009163.029,1909347.676,2244.47,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR13@a.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR13@a\ZVIIGIR13@a.JPG
7,1,13@b,VII,I,13 ?,13beta,ZVII.GI.R 13 ?,G,A,,,,None,,,,,Me,1009154.611,1909346.938,2247.6,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR13@b.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR13@b\ZVIIGIR13@b.JPG
7,1,13@c,VII,I,13 ?,13gamma,ZVII.GI.R 13 ?,G,A,,,,None,,,,,Me,1009132.656,1909339.398,2252.15,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR13@c.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR13@c\ZVIIGIR13@c.JPG
7,1,13@d,VII,I,13 ?,13delta,ZVII.GI.R 13 ?,G,P,,,,None,,,,,Me,1009113.239,1909363.454,2275.95,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR13@d.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR13@d\ZVIIGIR13@d.JPG
7,1,13@e,VII,I,13 ?,13epsilon,ZVII.GI.R 13 ?,G,A,,,,None,,,,,Me,1009148.26,1909342.507,2248.05,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR13@e.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR13@e\ZVIIGIR13@e.JPG
7,1,14,VII,I,14,14,ZVII.GI.R 14,S,P,,,,None,,,,,Me,1009248.08,1909277.569,2223.48,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR14.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR14\ZVIIGIR14.JPG
7,1,15,VII,I,15,15,ZVII.GI.R 15,S,B,,,,None,,,,,Me,1009255.258,1909224.197,2217.19,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR15.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR15\ZVIIGIR15.JPG
7,1,15@a,VII,I,15 ?,15alpha,ZVII.GI.R 15 ?,S,B,,,,None,,,,,Me,1009258.359,1909228.775,2218.36,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR15@a.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR15@a\ZVIIGIR15@a.JPG
7,1,15@b,VII,I,15 ?,15beta,ZVII.GI.R 15 ?,S,B,,,,None,,,,,Me,1009249.055,1909224.197,2220.45,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR15@b.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR15@b\ZVIIGIR15@b.JPG
7,1,16,VII,I,16,16,ZVII.GI.R 16,S,PB,,,,None,,,,,Me,1009247.843,1909190.809,2215,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR16.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR16\ZVIIGIR16.JPG
7,1,17,VII,I,17,17,ZVII.GI.R 17,S,P,,,,None,Paroi B,,,,Me,1009259.443,1909155.531,2229.2,2,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR17.gif,D:\Base de donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR17\XIII page 11-01.jpg
7,1,17@a,VII,I,17 ?,17alpha,ZVII.GI.R 17 ?,S,P,,,,None,,,,,Me,1009291.737,1909161.989,2217.83,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR17@a.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR17@a\ZVIIGIR17@a.JPG
7,1,18,VII,I,18,18,ZVII.GI.R 18,S,PB,,,,None,,,,,Me,1009282.534,1909103.59,2209.75,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGI\ZVIIGIR18.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGI\ZVIIGIR18\ZVIIGIR18.JPG
7,2,1bis,VII,II,1bis,1bis,ZVII.GII.R 1bis,S,B,,,,None,,,,,Me,1009138.878,1909330.12,2240.37,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR1bis.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR1bis\ZVIIGIIR1bis.JPG
7,2,1Abis,VII,II,1Abis,1Abis,ZVII.GII.R 1Abis,S,PB,,,,None,,,,,Me,1009107.568,1909322.735,2256.73,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR1Abis.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR1Abis\ZVIIGIIR1Abis.JPG
7,2,1B,VII,II,1B,1B,ZVII.GII.R 1B,S,None,,,,None,,,,,Me,1009090.052,1909362.567,2289.25,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR1B.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR1B\ZVIIGIIR1B.JPG
7,2,1@a,VII,II,1 ?,1alpha,ZVII.GII.R 1 ?,S,B,,,,None,,,,,Me,1009154.013,1909330.607,2239.33,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR1@a.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR1@a\ZVIIGIIR1@a.JPG
7,2,1@b,VII,II,1 ?,1beta,ZVII.GII.R 1 ?,G,B,,,,None,,,,,Me,1009097.141,1909415.972,2287.26,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR1@b.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR1@b\ZVIIGIIR1@b.JPG
7,2,1@c,VII,II,1 ?,1gamma,ZVII.GII.R 1 ?,S,B,,,,None,,,,,Me,1009092.267,1909403.123,2284.41,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR1@c.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR1@c\ZVIIGIIR1@c.JPG
7,2,1@d,VII,II,1 ?,1delta,ZVII.GII.R 1 ?,S,B,,,,None,,,,,Me,1009102.753,1909388.65,2282.75,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR1@d.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR1@d\ZVIIGIIR1@d.JPG
7,2,1@e,VII,II,1 ?,1epsilon,ZVII.GII.R 1 ?,SG,None,,,,None,,,,,Me,1009101.276,1909383.776,2283.59,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR1@e.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR1@e\ZVIIGIIR1@e.JPG
7,2,1@g,VII,II,1 ?,1eta,ZVII.GII.R 1 ?,S,None,,,,None,,,,,Me,1009111.998,1909324.212,2255.34,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR1@h.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR1@g\ZVIIGIIR1@g.JPG
7,2,2A,VII,II,2A,2A,ZVII.GII.R 2A,S,None,,,,None,,,,,Me,1009103.396,1909459.511,2290.06,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR2A.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR2A\ZVIIGIIR2A.JPG
7,2,2B,VII,II,2B,2B,ZVII.GII.R 2B,S,A,,,,None,,,,,Me,1009086.095,1909444.989,2289.37,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR2B.jpg,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR2B\ZVIIGIIR2B.JPG
7,2,2C,VII,II,2C,2C,ZVII.GII.R 2C,S,A,,,,None,,,,,Me,1009099.895,1909453.523,2288.8,2,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR2C.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR2C\ZVIIGIIR2C.JPG
7,2,2@a,VII,II,2 ?,2alpha,ZVII.GII.R 2 ?,S,PB,,,,None,,,,,Me,1009089.992,1909435.792,2288.18,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR2@a.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR2@a\ZVIIGIIR2@a.JPG
7,2,3,VII,II,3,3,ZVII.GII.R 3,S,None,,,,None,,,,,Me,1009079.429,1909468.346,2304.21,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR3-Fa.gif,D:\Base de donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR3\ZVIIGIIR3.Fb.JPG
7,2,3C,VII,II,3C,3C,ZVII.GII.R 3C,S,A,,,,None,,,,,Me,1009079.346,1909432.921,2293.41,2,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR3C.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR3C\ZVIIGIIR3C.JPG
7,2,3@a,VII,II,3 ?,3alpha,ZVII.GII.R 3 ?,S,None,,,,None,,,,,Me,1009086.891,1909470.322,2308.68,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR3@a.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR3@a\ZVIIGIIR3@a.JPG
7,2,3@b,VII,II,3 ?,3beta,ZVII.GII.R 3 ?,S,None,,,,None,,,,,Me,1009049.98,1909451.942,2315.67,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR3@b.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR3@b\ZVIIGIIR3@b.JPG
7,2,1A,VII,II,1A,1A,ZVII.GII.R 1A,S,PB,,,,None,,,,,Me,1009097.17,1909307.272,2264.7,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR1A.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR1A\ZVIIGIIR1A.JPG
7,2,4,VII,II,4,4,ZVII.GII.R 4,S,A,,,,None,,,,,Me,1009068.571,1909448.5,2309.57,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR4.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR4\ZVIIGIIR4.JPG
7,2,4A,VII,II,4A,4A,ZVII.GII.R 4A,S,None,,,,None,,,,,Me,1009070.121,1909452.161,2306.55,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR4A.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR4A\ZVIIGIIR4A.JPG
7,2,5A,VII,II,5A,5A,ZVII.GII.R 5A,S,B,,,,None,,,,,Me,1009078.137,1909473.702,2311.22,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR5A.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR5A\ZVIIGIIR5A.JPG
7,2,5B,VII,II,5B,5B,ZVII.GII.R 5B,S,None,,,,None,,,,,Me,1009076.932,1909485.738,2311.15,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR5B.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR5B\ZVIIGIIR5B.JPG
7,2,5C,VII,II,5C,5C,ZVII.GII.R 5C,G,B,,,,None,,,,,Me,1009086.039,1909488.97,2310.45,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR5C.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR5C\ZVIIGIIR5C.JPG
7,2,5@a,VII,II,5 ?,5alpha,ZVII.GII.R 5 ?,S,B,,,,None,,,,,Me,1009078.507,1909492.367,2312.04,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR5@a.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR5@a\ZVIIGIIR5@a.JPG
7,2,5@b,VII,II,5 ?,5beta,ZVII.GII.R 5 ?,S,PB,,,,None,,,,,Me,1009073.76,1909490.99,2313.85,2,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR5@b.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR5@b\ZVIIGIIR5@b.JPG
7,2,6,VII,II,6,6,ZVII.GII.R 6,S,A,,,,None,Entrée du Défilé,,,14 milli pour cette roche,Me,1009079.726,1909529.979,2316.75,4,"D:\Base de donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR6\ZVIIGIIR6-C1 -carré C1,D1 - fig 14-21.jpg",D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR6\ZVIIGIIR6.JPG
7,2,6B,VII,II,6B,6B,ZVII.GII.R 6B,S,A,,,,None,,,,,Me,1009124.109,1909495.666,2299.37,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR6B.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR6B\ZVIIGIIR6B.JPG
7,2,7,VII,II,7,7,ZVII.GII.R 7,S,B,,,,None,,,,,Me,1009063.265,1909536.932,2318.97,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR7.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR7\ZVIIGIIR7.JPG
7,2,8,VII,II,8,8,ZVII.GII.R 8,S,A,8000,2000,,None,Défilé Rivière,,,a=10-16 ; b=263-292 ; c=17-86 ; d=180-213 ;,Me,1009063.955,1909582.793,2323.22,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR8\ZVIIGIIR8- Fa-carré0R.jpg,D:\Base de donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR8\P8090215_.jpg
7,2,8A,VII,II,8A,8A,ZVII.GII.R 8A,S,PB,,,,None,,,,,Me,1009034.341,1909617.71,2325.06,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR8A.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR8A\ZVIIGIIR8A.JPG
7,2,8B,VII,II,8B,8B,ZVII.GII.R 8B,S,A,,,,None,,,,,Me,1009032.688,1909613.045,2330.09,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR8B.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR8B\ZVIIGIIR8B.JPG
7,2,8E,VII,II,8E,8E,ZVII.GII.R 8 ?,S,B,,,,None,,,,ancient 8@a,Me,1009053.115,1909577.58,2325.34,2,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR8E.jpg,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR8E\ZVIIGIIR8E.JPG
7,2,8@b,VII,II,8 ?,8beta,ZVII.GII.R 8 ?,S,None,,,,None,,,,,Me,1009043.219,1909598.843,2328.08,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR8@b.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR8@b\ZVIIGIIR8@b.JPG
7,2,8@c,VII,II,8 ?,8gamma,ZVII.GII.R 8 ?,S,PB,,,,None,,,,,Me,1009037.379,1909623.086,2322.8,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR8@c.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR8@c\ZVIIGIIR8@c.JPG
7,2,9A,VII,II,9A,9A,ZVII.GII.R 9A,S,B,,,,None,,,,,Me,1009037.463,1909633.5,2318.11,2,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR9A.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR9A\ZVIIGIIR9A.JPG
7,2,9B,VII,II,9B,9B,ZVII.GII.R 9B,S,B,,,,None,,,,,Me,1009030.633,1909645.972,2320.22,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR9B.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR9B\ZVIIGIIR9B.JPG
7,2,9@a,VII,II,9 ?,9alpha,ZVII.GII.R 9 ?,S,PB,,,,None,,,,,Me,1009035.933,1909631.061,2319.33,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR9@a.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR9@a\ZVIIGIIR9@a.JPG
7,2,9@b,VII,II,9 ?,9beta,ZVII.GII.R 9 ?,S,B,,,,None,,,,,Me,1009029.282,1909649.113,2317.93,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR9@b.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR9@b\ZVIIGIIR9@b.JPG
7,2,9@c,VII,II,9 ?,9gamma,ZVII.GII.R 9 ?,S,PB,,,,None,,,,,Me,1009029.188,1909633.411,2319.85,4,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR9@c.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR9@c\ZVIIGIIR9@c.JPG
7,2,9@d,VII,II,9 ?,9delta,ZVII.GII.R 9 ?,S,PB,,,,None,,,,,Me,1009031.183,1909629.657,2322.59,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGII\ZVIIGIIR9@d.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGII\ZVIIGIIR9@d\ZVIIGIIR9@d.JPG
7,3,1A,VII,III,1A,1A,ZVII.GIII.R 1A,S,B,,,,None,,,,,Me,1009020.796,1909661.162,2320.83,2,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR1A.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR1A\ZVIIGIIIR1A.JPG
7,3,1@a,VII,III,1 ?,1alpha,ZVII.GIII.R 1 ?,S,B,,,,None,,,,,Me,1009024.094,1909653.484,2319.3,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR1@a.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR1@a\ZVIIGIIIR1@a.JPG
7,3,1@b,VII,III,1 ?,1beta,ZVII.GIII.R 1 ?,S,B,,,,None,,,,,Me,1009026.709,1909662.678,2318.59,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR1@b.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR1@b\ZVIIGIIIR1@b.JPG
7,3,2A,VII,III,2A,2A,ZVII.GIII.R 2A,S,B,,,,None,,,,,Me,1009015.824,1909654.122,2322.9,2,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR2A.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR2A\ZVIIGIIIR2A.JPG
7,3,3A,VII,III,3A,3A,ZVII.GIII.R 3A,S,B,,,,None,,,,,Me,1009014.655,1909660.807,2323.08,2,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR3A.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR3A\ZVIIGIIIR3A.JPG
7,3,4A,VII,III,4A,4A,ZVII.GIII.R 4A,S,None,,,,None,,,,,Me,1009014.567,1909669.755,2321.96,2,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR4A.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR4A\ZVIIGIIIR4A.JPG
7,3,4@a,VII,III,4 ?,4alpha,ZVII.GIII.R 4 ?,S,B,,,,None,,,,,Me,1009012.13,1909669.129,2322.6,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR4@a.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR4@a\ZVIIGIIIR4@a.JPG
7,3,4@b,VII,III,4 ?,4beta,ZVII.GIII.R 4 ?,S,B,,,,None,,,,,Me,1009014.788,1909667.209,2322.32,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR4@b.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR4@b\ZVIIGIIIR4@b.JPG
7,3,4@c,VII,III,4 ?,4gamma,ZVII.GIII.R 4 ?,S,B,,,,None,,,,,Me,1009011.243,1909680.999,2320.75,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR4@c.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR4@c\ZVIIGIIIR4@c.JPG
7,3,4@d,VII,III,4 ?,4delta,ZVII.GIII.R 4 ?,S,B,,,,None,,,,,Me,1009015.5,1909701.079,2320.61,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR4@d.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR4@d\ZVIIGIIIR4@d.JPG
7,3,4@e,VII,III,4 ?,4epsilon,ZVII.GIII.R 4 ?,S,B,,,,None,,,,,Me,1009004.235,1909693.877,2322.59,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR4@e.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR4@e\ZVIIGIIIR4@e.JPG
7,3,4@g,VII,III,4 ?,4eta,ZVII.GIII.R 4 ?,S,None,,,,None,,,,,Me,1009004.635,1909684.479,2322.28,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR4@g.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR4@g\ZVIIGIIIR4@g.JPG
7,3,4@h,VII,III,4 ?,4theta,ZVII.GIII.R 4 ?,S,None,,,,None,,,,,Me,1008999.501,1909695.993,2324,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR4@h.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR4@h\ZVIIGIIIR4@h.JPG
7,3,5A,VII,III,5A,5A,ZVII.GIII.R 5A,S,None,,,,None,,,,,Me,1008997.871,1909673.923,2326.39,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR5A.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR5A\ZVIIGIIIR5A.JPG
7,3,5@a,VII,III,5 ?,5alpha,ZVII.GIII.R 5 ?,S,None,,,,None,,,,,Me,1009005.581,1909658.865,2326.06,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR5@a.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR5@a\ZVIIGIIIR5@a.JPG
7,3,6A,VII,III,6A,6A,ZVII.GIII.R 6A,S,None,,,,None,,,,,Me,1008988.026,1909721.341,2322.89,2,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR6A.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR6A\ZVIIGIIIR6A.JPG
7,3,6@a,VII,III,6 ?,6alpha,ZVII.GIII.R 6 ?,S,None,,,,None,,,,,Me,1008975.972,1909714.762,2328,2,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR6@a.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR6@a\ZVIIGIIIR6@a.JPG
7,3,6@b,VII,III,6 ?,6beta,ZVII.GIII.R 6 ?,S,None,,,,None,,,,,Me,1008985.572,1909709.15,2325.41,1,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR6@b.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR6@b\ZVIIGIIIR6@b.JPG
7,3,7B,VII,III,7B,7B,ZVII.GIII.R 7B,S,None,,,,None,,,,,Me,1009001.909,1909724.431,2320,2,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR7B.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR7B\ZVIIGIIIR7B.JPG
7,3,8A,VII,III,8A,8A,ZVII.GIII.R 8A,S,None,,,,None,,,,,Me,1008995.094,1909734.132,2318.21,2,D:\Base de Donnees\Images\Images Faces\ZVII\ZVIIGIII\ZVIIGIIIR8A.gif,D:\Base de Donnees\Images\Photos Roches\ZVII\ZVIIGIII\ZVIIGIIIR8A\ZVIIGIIIR8A.JPG
